User,Comment
Omor faruk,"ভাই, এই ব্লগ দেখে হাসি থামাইতে পারতাছি না....!"
Diya Rahman,"Rafsan bhai I always wait for your video, very nice blog"
md kamruzzaman khan,right bro. I’m waiting from Canada 🇨🇦
Emon,লাস্ট কথাটা কলিজায় লাগছে....️️️️
AliSab The Kitchen,You are really good man
𝓕𝓪𝓱𝓪𝓭 𝓐𝓵 𝓢𝓪𝓵𝓪𝓱𝓾𝓭𝓭𝓲𝓷 𝓜𝓸𝓵𝓵𝓪𝓱,"""Corruption is paid by the poor""
- Pope Francis -
.
.
Last UpDate: 05/08/2017"
Tonni Islam,Are they think RAFSAN is a reporter or something? because they have taken his questions very seriously...
Sixthsense’s Shot,9:56 damn true! Huge respect for you man  🫡
Mahmuda Akter,Great ending in this video🫠
Yoyo Pro Boy,Rafsan seriously started showing  them memes while they are about to lose their entire business!! Props to that guys for keeping his cool!
NB_sledge790 s,Rafsan seriously started showing them memes when they are about to loose their entire business!! Props to that guy for keeping his cool!
Md Rasel Mahmud,শেষের কথাগুলি বুকে লাগলে। একদম ঠিক বলেছেন। এই দেশে বড় লোকেরা গাড়ি দিয়ে মানুষ মেরে ফেলে কিছুই হয় না আর এটা তো কুকুর নিয়ে। দেশ আজ কোথায়? খুব কষ্ট হয়।
PREMI MUSIC LOVERS,বাংলাদেশে যাই ই অসম্ভব তাই ই সম্ভাব
Learning point,আপনার ভিডিওর শেষের কথাগুলো অসাধারণ। ধন্যবাদ রাফসান️
Attitude Boy 03,রাফসান ভাই প্রথমের  কাহিনীটা সেই ছিল
NB_sledge790 s,Rafsan seriously started showing  them memes while they are about to lose their entire business!! Props to that guys for keeping his cool!
NB_sledge790 s,Rafsan seriously started showing  them memes while they are about to lose their entire business!! Props to that guys for keeping his cool!
NB_sledge790 s,Rafsan seriously started showing  them memes while they are about to lose their entire business!! Props to that guys for keeping his cool!
NB_sledge790 s,Rafsan seriously started showing  them memes while they are about to lose their entire business!! Props to that guys for keeping his cool!
NB_sledge790 s,Rafsan seriously started showing  them memes while they are about to lose their entire business!! Props to that guys for keeping his cool!
ঘুরি খাই দাই,কোন কিছু শিওর না হয়ে হুজুকের পালে হাওয়া দেয়ার মতো ভিডিও আশা করি নাই। সো স্যাড রাফসান দি ছোট ভাই।
Kazi Nobel,Thats great ️️
lolzzz mister,Bro literally wanted to start the intro and got scared of the dog xD
Zoha Chowdhury,শেষের কথা গুলো দারুন রাফসান। চমৎকার।
Tanmay Dey,Love  from India ️
أطباق زوجتي المغربية,Good my friend  from Morocco 🇲🇦 ️️
Subrata Sharkar,এই দেশে সব অনিয়ম সম্ভব হয় শুধু টাকার কারণে।
Liton BD,আপনার ভিডিও শেষের লাস্ট কথা গুলো সবার মনে তাক লাগায় গেছে ভাইয়া। সত্যি কথা বলেছেন আপনি ভাইয়া।ধন্যবাদ আপনাকে ️️️
Sabbir khan,1:13 তা ভাই খাসি কি মানুষের সৃষ্টি
F. M. FAYSAL ALAM SYKOT,বাংলাদেশের দুনীতি নিয়ে লাস্ট যে কথা বলছেন সেটা ১০০০/১০০ % সত্য
Mrk Sompod,Dawn of justice league
Forkan Ahmed,expensive damage control by sultan's dine :P
CHANNEL S.R,"আপনার এই ভিডিওটা অসাধারণ হইছে, সত্যটা সকলের সামনে উন্মোচন হোক।"
Shila Sharmin,মাশাআল্লাহ কত সুন্দর ভাবে কথাগুলো বলল রাফসান
Nafis Ahammed,Best intro so far bro.
মেঘমায়া,"Love u brother ️
শেষের কথা গুলো ভাল্লাগছে"
ARIFUL HASAN,Scene 9:58-10:48
S & S sisters,0:45 was hilarious
Free education ltd,"Love you Rafsan,from India 🇮🇳🇮🇳"
Young Vlogger,Ending er kotha gulo mone dorche
Chapabaz,I am not feeling well today
Raz Hm,এত সুন্দর একটি ভিডিও করার জন্য ধন্যবাদ @Rafsanthechotobhai
Tamzid Chowdhury,9:30 this is why i like rafsan
Shayan Alam,8:50 bro said the reality.
Eisa Rahman,You should create a special fanbase like w41k3r
Design by Nayan Hossain,"শেষ কথা গুলো সত্যি চমৎকার ছিলো। ম্যান,লাভ ইউ"
Sayak Rudra,Reminder: Don't hate or criticize anybody until it's proved
rashel's,সুলতান ডাইনিং অবশ্যই সামনে এগিয়ে যাবে।
Rima Mostari,The ending
Abdur Rahim,শেষের কথা গুলো শুনে খারাপ লাগল কিন্তু আমার ইচ্ছে বড় হয়ে এদেশ ত্যাগ করবো।
Solaiman Bhaiyu,Ending part tuku sotti emotional chilo:')
Mohammad Jintu,আপনার কথা অনেক ভালো লাগছে সুন্দর বলছেন আমার মনের সাথে মিলে গেছে ধন্যবাদ আপনাকে আমারও খুব কষ্ট হয় এই ধরনের যখন বিষয়গুলোর যখন শুনি
IM NOT IMRAN,Uncle my kaka always orders it from foodpanda️️
Sagor Afridi,ভিডিও টা অনেক সুন্দর লাগলো লাভ ইউ প্রিয়🇧🇩
আধুনিক কবিরাজ,উনাদের প্রতি মানুষের আস্থা আছে.... ।
kaniz mumu,গতকাল ভোক্তা অধিকারীর অভিযানের ফাঁকে রাফসানকে একবার দেখা গিয়েছিল। এই পুঁচকে ছেলেটাকে যে কি ভালো লাগে !বেস্ট অফ লাক ️
HS Hridoy Sheikh,Last lines guli
Md Easin,শেষের কথা গুলো ভাই একদম ঠিক ছিলো
MxN Organic Product,মিথ্যা হতে দূরে থাক কেননা মিথ্যা চেহারাকে কালো করে দেয়। __(হযরত মুহাম্মদ (সা:))
Mr Madaripurltd,শেষের কথা গুলো অনেক মূল্যবান  কথা
Md Tarikul Islam,0:46 sultan's dine took my brother
jubayer ahmed,ভাই এত বছর ধরে ওদের খবার কত মানুষ খেলো কখনো কেও কিছু বুঝল না যে ওইটা কিসের কাচ্চি কিন্ত হটাত মানুষ কি এমন জিনিয়াস হয়ে গেল যে খাশি আর কুত্তার মাংস আলাদা করতে পারছে
__Cr@zy_boy__,হাসতে হাসতে শেষ
Shbdo Premik,নামাজ বাদ দিওনা বন্ধু এপারের চেয়ে ওপারের জীবন বেশি সুন্দর
মোহাম্মদ মানিক,খুব হাসলাম ব্রো।
Aŕt & Cŕafț,বিয়ার গেইলস হওয়ার সপ্ন পূরণ হয়ে গেল
Shaikh Khaled,যারা কুত্তার বিরানী করছে।তাদের ফাসি হওয়া উচিৎ।Rafsan the choto bhai bring justice for this people.
Shalam Mula,Alla is great ️
Imam Hasan Tushar,সত্যি লাস্ট কিছু কথা মনে গেথে গেল
MO Things,"রাফসান এর লাস্ট কথা সত্যিই সত্যি ছিলো এই জন্যই রাফসান এর ভিডিওগুলো আমি লক্ষ করি
good luck and love you choto"
Tahsin Babar,"The way he is saying ""kuttar mangsho""."
Nazrul Islam,শেষের কথাগুলো দারুণ লাগলো।
☕BARISTA REZA☕,Just salute bro 🫡🫡
HOPE EDITOR202,"Why you're eating ""kuttas mangsho""️"
𝖬𝖣.𝖱𝖾𝗆𝗈𝗇,𝖳𝗁𝖺𝗇𝗄𝗒𝗈𝗎 𝖻𝗋𝗈 শেষ এর কথাটা শুনে খুব ভাল লাগছে
Emon Das,Sera vai love it
محراب,1:14 dorime ameno ameno latire
Ashiq Ahsan,আমার কথা হলো কনজিউমার এসোসিয়েশনের নির্দেশনা অনুযায়ী প্রত্যেক রেস্টুরেন্টের কিচেন ওপেন গ্লাস দেওয়া থাকবে। যাতে কাস্টমার কিচেনের পরিবেশ ও খাবার তৈরীর পক্রিয়াটা সচোখে দেখতে পারে। তাহলে সুলতান যদি সৎ ব্যবসায়ী করে। তাহলে এতো অভিযোগ ও অভিযানের পরও কেন কিচেন ওপেন করেনা।
Ruhiya Hoq,1:18 best
Sayra Mayeen Chowdhury,কিভাবে জানা যায় যে কাচিটা কুকুরের নাকি খাসির???  আমার সবচেয়ে পছন্দের রেস্টুরেন্ট!
Bless Aqua Garden,ইন্ট্রোটা সেই
Rahu Vlogs,Last er line gula onk vloh lagche vaiya
Rony,"The way he was saying  ""kuttar mangsho"""
Siddi Saha,"ভাই আপনি একটা ইয়ে,  আপনি একটা ভাল ইয়ে, আপনার ইয়ে আছে। The most funniest part."
asad Ahmed,Funny vlog
M80 Motivational Waz,Love From M80 CarToon ️
SM,"ভালো লাগলো, সেরা ভিডিও"
Yr Minions,শেষ দেড় মিনিট ️
Jafrin Jerin,Rafsan bhai  just wow
Airport Vlog,"বাহ চমৎকার  এগিয়ে যান ভাই।।
এসব কাচ্চি বিরিয়ানি আপনাদের জন্যই"
rubel md,Thank you  bro
Shahed Ahmed,:এটা আল্লাহর সৃষ্টি এদের নিয়ে বিরিয়ানি বানানো উচিত না
